Date,Day,Month,Year,Customer_Age,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Revenue,Cost,YearMonth
2016-04-03,3,April,2016,24,F,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,1,2,5.36,3,55,2,2016-April
2016-04-06,6,April,2016,40,M,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,12,2,5.36,35,109,24,2016-April
2016-03-27,27,March,2016,24,F,Germany,Nordrhein-Westfalen,Clothing,Caps,AWC Logo Cap,21,7,9.0,17,214,147,2016-March
2016-03-31,31,March,2016,29,M,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,19,2,5.0,56,144,38,2016-March
2016-03-05,5,March,2016,35,M,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,19,2,5.0,56,144,38,2016-March
2016-04-18,18,April,2016,41,M,United States,Washington,Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",23,38,53.6,23,947,874,2016-April
2016-07-20,20,July,2016,50,F,United States,Washington,Accessories,Tires and Tubes,HL Road Tire,3,12,35.376000000000005,41,127,36,2016-July
2016-05-29,29,May,2016,23,F,Australia,New South Wales,Accessories,Tires and Tubes,Patch Kit/8 Patches,4,1,2.0,3,57,4,2016-May
2016-07-16,16,July,2016,17,F,United States,Oregon,Clothing,Vests,"Classic Vest, L",4,24,68.608,124,270,96,2016-July
2016-05-22,22,May,2016,19,M,United Kingdom,England,Accessories,Tires and Tubes,Touring Tire Tube,21,2,5.0,59,151,42,2016-May
2016-04-02,2,April,2016,49,F,United States,Washington,Accessories,Tires and Tubes,Patch Kit/8 Patches,10,1,2.144,6,66,10,2016-April
2016-02-26,26,February,2016,43,M,United Kingdom,England,Accessories,Bottles and Cages,Mountain Bottle Cage,11,4,10.0,62,156,44,2016-February
2016-07-28,28,July,2016,33,F,United States,Washington,Accessories,Bottles and Cages,Water Bottle - 30 oz.,1,2,5.36,2,54,2,2016-July
2016-05-17,17,May,2016,35,F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,22,2,5.36,64,158,44,2016-May
2016-06-29,29,June,2016,26,F,United Kingdom,England,Accessories,Tires and Tubes,Touring Tire Tube,5,2,5.0,14,74,10,2016-June
2016-01-14,14,January,2016,44,F,Australia,New South Wales,Accessories,Tires and Tubes,Road Tire Tube,1,1,4.0,2,53,1,2016-January
2016-05-13,13,May,2016,53,M,France,Seine (Paris),Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443.0,484,2053,1519,2016-May
2016-03-31,31,March,2016,62,F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2487.04,1008,2324,1266,2016-March
2016-06-28,28,June,2016,33,F,France,Hauts de Seine,Accessories,Helmets,"Sport-100 Helmet, Blue",2,13,35.0,39,115,26,2016-June
2016-01-19,19,January,2016,27,F,Australia,New South Wales,Accessories,Tires and Tubes,Patch Kit/8 Patches,1,1,2.0,1,52,1,2016-January
2016-01-21,21,January,2016,53,F,Australia,Tasmania,Accessories,Cleaners,Bike Wash - Dissolver,20,3,8.0,70,180,60,2016-January
2016-06-29,29,June,2016,37,M,United States,California,Bikes,Touring Bikes,"Touring-2000 Blue, 50",1,755,1302.48,436,1241,755,2016-June
2016-06-30,30,June,2016,30,M,France,Nord,Bikes,Touring Bikes,"Touring-3000 Yellow, 58",3,461,742.0,554,1987,1383,2016-June
2016-02-12,12,February,2016,25,F,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,5,2,5.0,14,74,10,2016-February
2016-04-03,3,April,2016,34,M,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Blue",4,13,35.0,82,184,52,2016-April
2016-01-16,16,January,2016,31,M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",2,420,769.0,498,1388,840,2016-January
2016-05-08,8,May,2016,30,M,Australia,Queensland,Accessories,Cleaners,Bike Wash - Dissolver,1,3,8.0,4,57,3,2016-May
2016-06-02,2,June,2016,37,F,United States,California,Clothing,Shorts,"Women's Mountain Shorts, L",1,26,75.04,43,119,26,2016-June
2016-02-18,18,February,2016,23,M,Australia,New South Wales,Accessories,Helmets,"Sport-100 Helmet, Blue",4,13,35.0,70,172,52,2016-February
2016-01-14,14,January,2016,26,M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 58",1,1555,2443.0,790,2395,1555,2016-January
2016-06-13,13,June,2016,53,M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,1252,2295.0,951,2253,1252,2016-June
2016-03-21,21,March,2016,38,M,Canada,British Columbia,Accessories,Tires and Tubes,ML Road Tire,10,9,25.0,158,298,90,2016-March
2016-01-18,18,January,2016,36,F,United Kingdom,England,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",12,42,54.0,118,672,504,2016-January
2016-06-09,9,June,2016,34,M,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-500 Black, 44",1,295,540.0,240,585,295,2016-June
2016-04-25,25,April,2016,32,M,United States,California,Clothing,Caps,AWC Logo Cap,12,7,9.648,22,156,84,2016-April
2016-06-13,13,June,2016,53,M,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,13,1,2.0,12,75,13,2016-June
2016-03-24,24,March,2016,42,M,United States,Washington,Bikes,Mountain Bikes,"Mountain-500 Black, 44",2,295,578.88,252,892,590,2016-March
2016-05-08,8,May,2016,32,F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,2,2,5.36,6,60,4,2016-May
2016-06-26,26,June,2016,35,M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,27,2,5.36,78,182,54,2016-June
2016-01-16,16,January,2016,30,F,Australia,New South Wales,Accessories,Tires and Tubes,Mountain Tire Tube,22,2,5.0,52,146,44,2016-January
2016-02-12,12,February,2016,42,M,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",7,42,57.888000000000005,1,345,294,2016-February
2016-05-08,8,May,2016,45,M,United States,California,Accessories,Helmets,"Sport-100 Helmet, Red",4,13,37.52,85,187,52,2016-May
2016-04-18,18,April,2016,30,M,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540.0,174,568,344,2016-April
2016-05-16,16,May,2016,34,M,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,3,2,5.0,8,64,6,2016-May
2016-01-11,11,January,2016,46,M,United Kingdom,England,Clothing,Caps,AWC Logo Cap,13,7,9.0,21,162,91,2016-January
2016-03-15,15,March,2016,53,M,Canada,British Columbia,Accessories,Tires and Tubes,HL Road Tire,9,12,33.0,186,344,108,2016-March
2016-01-22,22,January,2016,28,M,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,22,2,5.0,62,156,44,2016-January
2016-01-20,20,January,2016,24,F,United States,Washington,Accessories,Bottles and Cages,Water Bottle - 30 oz.,13,2,5.36,25,101,26,2016-January
2016-01-29,29,January,2016,32,F,Australia,South Australia,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578.0,763,2984,2171,2016-January
2016-01-07,7,January,2016,40,F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,28,1,2.0,27,105,28,2016-January
2016-02-11,11,February,2016,30,M,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,1,2,5.0,3,55,2,2016-February
2016-06-13,13,June,2016,36,F,Australia,New South Wales,Accessories,Tires and Tubes,Mountain Tire Tube,11,2,5.0,26,98,22,2016-June
2016-02-15,15,February,2016,22,F,France,Yveline,Accessories,Helmets,"Sport-100 Helmet, Red",4,13,35.0,54,156,52,2016-February
2016-07-17,17,July,2016,32,M,Australia,Victoria,Accessories,Tires and Tubes,ML Mountain Tire,15,11,30.0,191,406,165,2016-July
2016-05-25,25,May,2016,20,F,Australia,New South Wales,Accessories,Cleaners,Bike Wash - Dissolver,28,3,8.0,111,245,84,2016-May
2016-03-22,22,March,2016,32,F,United States,Washington,Accessories,Bottles and Cages,Water Bottle - 30 oz.,12,2,5.36,23,97,24,2016-March
2016-04-09,9,April,2016,30,M,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,29,2,5.0,81,189,58,2016-April
2016-03-04,4,March,2016,28,F,United States,Washington,Accessories,Bottles and Cages,Water Bottle - 30 oz.,1,2,5.36,2,54,2,2016-March
2016-06-15,15,June,2016,30,M,United Kingdom,England,Bikes,Touring Bikes,"Touring-3000 Yellow, 50",1,461,742.0,251,762,461,2016-June
2016-07-20,20,July,2016,50,F,United States,Washington,Accessories,Tires and Tubes,HL Road Tire,6,12,35.376000000000005,82,204,72,2016-July
2016-01-13,13,January,2016,22,M,United States,Oregon,Accessories,Helmets,"Sport-100 Helmet, Red",1,13,37.52,17,80,13,2016-January
2016-02-27,27,February,2016,37,M,France,Nord,Accessories,Bottles and Cages,Water Bottle - 30 oz.,31,2,5.0,73,185,62,2016-February
2016-04-01,1,April,2016,39,F,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3835.6160000000004,620,2841,2171,2016-April
2016-03-11,11,March,2016,49,M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,6,1,2.144,6,62,6,2016-March
2016-05-02,2,May,2016,34,F,France,Hauts de Seine,Accessories,Tires and Tubes,Patch Kit/8 Patches,12,1,2.0,10,72,12,2016-May
2016-05-07,7,May,2016,28,M,Germany,Brandenburg,Bikes,Road Bikes,"Road-350-W Yellow, 42",1,1083,1701.0,601,1734,1083,2016-May
2016-03-08,8,March,2016,44,M,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Black",5,13,35.0,103,218,65,2016-March
2016-03-22,22,March,2016,30,M,Germany,Bayern,Accessories,Fenders,Fender Set - Mountain,5,8,22.0,69,159,40,2016-March
2016-04-03,3,April,2016,26,F,Canada,British Columbia,Accessories,Bottles and Cages,Road Bottle Cage,1,3,9.0,6,59,3,2016-April
2016-03-18,18,March,2016,49,F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,4,2,5.0,12,70,8,2016-March
2016-03-12,12,March,2016,37,M,United States,California,Accessories,Helmets,"Sport-100 Helmet, Black",16,13,37.52,341,599,208,2016-March
2016-05-10,10,May,2016,50,F,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,24,2,5.36,70,168,48,2016-May
2016-01-14,14,January,2016,38,M,United States,Washington,Accessories,Bottles and Cages,Water Bottle - 30 oz.,2,2,5.36,4,58,4,2016-January
2016-05-21,21,May,2016,22,F,Australia,Queensland,Accessories,Cleaners,Bike Wash - Dissolver,23,3,8.0,86,205,69,2016-May
2016-06-26,26,June,2016,59,F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-400-W Silver, 40",3,420,769.0,955,2265,1260,2016-June
2016-01-31,31,January,2016,38,M,Australia,South Australia,Accessories,Bottles and Cages,Mountain Bottle Cage,22,4,10.0,92,230,88,2016-January
2016-06-18,18,June,2016,33,M,Canada,British Columbia,Clothing,Caps,AWC Logo Cap,27,7,9.0,52,291,189,2016-June
2016-06-20,20,June,2016,23,M,Australia,New South Wales,Accessories,Tires and Tubes,HL Mountain Tire,2,13,35.0,35,111,26,2016-June
2016-04-12,12,April,2016,32,F,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,14,2,5.0,39,117,28,2016-April
2016-04-10,10,April,2016,54,F,United States,Washington,Accessories,Helmets,"Sport-100 Helmet, Blue",8,13,37.52,114,268,104,2016-April
2016-04-25,25,April,2016,30,F,France,Seine (Paris),Accessories,Tires and Tubes,Mountain Tire Tube,9,2,5.0,19,87,18,2016-April
2016-05-17,17,May,2016,52,F,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,11,2,5.0,31,103,22,2016-May
2016-05-15,15,May,2016,29,M,United States,Washington,Accessories,Bottles and Cages,Water Bottle - 30 oz.,5,2,5.36,10,70,10,2016-May
2016-07-12,12,July,2016,31,F,United States,California,Accessories,Tires and Tubes,HL Mountain Tire,16,13,37.52,341,599,208,2016-July
2016-02-07,7,February,2016,38,F,France,Essonne,Accessories,Tires and Tubes,Patch Kit/8 Patches,5,1,2.0,5,60,5,2016-February
2016-05-14,14,May,2016,25,M,France,Garonne (Haute),Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",28,38,50.0,252,1366,1064,2016-May
2016-02-17,17,February,2016,35,M,United States,California,Bikes,Touring Bikes,"Touring-1000 Blue, 50",1,1482,2555.648,854,2386,1482,2016-February
2016-06-18,18,June,2016,27,M,Germany,Nordrhein-Westfalen,Accessories,Tires and Tubes,Road Tire Tube,30,1,4.0,74,154,30,2016-June
2016-05-23,23,May,2016,30,F,France,Seine (Paris),Accessories,Tires and Tubes,Mountain Tire Tube,5,2,5.0,11,71,10,2016-May
2016-04-12,12,April,2016,21,F,France,Moselle,Accessories,Helmets,"Sport-100 Helmet, Blue",21,13,35.0,374,697,273,2016-April
2016-06-07,7,June,2016,55,M,Canada,Alberta,Accessories,Tires and Tubes,Road Tire Tube,11,1,4.0,33,94,11,2016-June
2016-06-04,4,June,2016,34,F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320.0,961,2277,1266,2016-June
2016-03-09,9,March,2016,40,F,United States,California,Bikes,Road Bikes,"Road-250 Black, 58",1,1555,2618.896,839,2444,1555,2016-March
2016-06-20,20,June,2016,35,F,United States,Oregon,Accessories,Bottles and Cages,Water Bottle - 30 oz.,21,2,5.36,48,140,42,2016-June
2016-02-01,1,February,2016,49,F,Canada,British Columbia,Accessories,Hydration Packs,Hydration Pack - 70 oz.,21,21,55.0,702,1193,441,2016-February
2016-01-11,11,January,2016,43,F,United States,Washington,Accessories,Tires and Tubes,Patch Kit/8 Patches,21,1,2.144,12,83,21,2016-January
2016-06-03,3,June,2016,31,M,Germany,Nordrhein-Westfalen,Accessories,Helmets,"Sport-100 Helmet, Red",18,13,35.0,314,598,234,2016-June
2016-02-13,13,February,2016,41,M,United Kingdom,England,Clothing,Caps,AWC Logo Cap,8,7,9.0,13,119,56,2016-February
2016-06-14,14,June,2016,36,F,Australia,New South Wales,Accessories,Helmets,"Sport-100 Helmet, Blue",6,13,35.0,105,233,78,2016-June
2016-04-14,14,April,2016,31,M,Australia,Victoria,Accessories,Tires and Tubes,Mountain Tire Tube,4,2,5.0,8,66,8,2016-April
2016-05-22,22,May,2016,25,M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,10,2,5.36,29,99,20,2016-May
2016-01-07,7,January,2016,39,M,United States,Washington,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",28,38,53.6,28,1142,1064,2016-January
2016-05-18,18,May,2016,18,M,United States,Oregon,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",11,38,53.6,55,523,418,2016-May
2016-06-27,27,June,2016,31,F,Australia,Victoria,Clothing,Socks,"Racing Socks, L",9,3,9.0,37,114,27,2016-June
2016-04-09,9,April,2016,39,F,United States,Washington,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",26,38,53.6,26,1064,988,2016-April
2016-07-31,31,July,2016,47,F,United Kingdom,England,Accessories,Tires and Tubes,Touring Tire,26,11,29.0,438,774,286,2016-July
2016-05-11,11,May,2016,54,F,Canada,British Columbia,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",24,38,50.0,276,1238,912,2016-May
2016-07-24,24,July,2016,45,F,United States,Oregon,Clothing,Shorts,"Women's Mountain Shorts, M",1,26,75.04,34,110,26,2016-July
2016-04-06,6,April,2016,34,M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,15,1,2.144,14,79,15,2016-April
2016-01-23,23,January,2016,40,M,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,25,2,5.36,73,173,50,2016-January
2016-05-01,1,May,2016,53,M,Canada,British Columbia,Accessories,Tires and Tubes,HL Road Tire,13,12,33.0,269,475,156,2016-May
2016-06-07,7,June,2016,37,M,United States,California,Accessories,Helmets,"Sport-100 Helmet, Black",20,13,37.52,426,736,260,2016-June
2016-03-15,15,March,2016,18,M,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,29,2,5.0,86,194,58,2016-March
2016-03-19,19,March,2016,41,M,Germany,Hessen,Bikes,Touring Bikes,"Touring-3000 Blue, 44",1,461,742.0,229,740,461,2016-March
2016-02-24,24,February,2016,45,F,United States,Washington,Accessories,Tires and Tubes,Patch Kit/8 Patches,20,1,2.144,11,81,20,2016-February
2016-05-21,21,May,2016,28,F,France,Seine et Marne,Accessories,Helmets,"Sport-100 Helmet, Black",3,13,35.0,47,136,39,2016-May
2016-05-11,11,May,2016,28,F,Germany,Saarland,Accessories,Fenders,Fender Set - Mountain,31,8,22.0,311,609,248,2016-May
2016-07-25,25,July,2016,31,M,Canada,British Columbia,Accessories,Tires and Tubes,Road Tire Tube,6,1,4.0,18,74,6,2016-July
2016-02-05,5,February,2016,36,M,United Kingdom,England,Clothing,Caps,AWC Logo Cap,21,7,9.0,34,231,147,2016-February
2016-02-22,22,February,2016,29,M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,13,2,5.36,38,114,26,2016-February
2016-03-31,31,March,2016,43,F,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,11,45,128.64000000000001,799,1344,495,2016-March
2016-02-02,2,February,2016,21,M,Canada,British Columbia,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",9,38,50.0,104,496,342,2016-February
2016-01-25,25,January,2016,55,F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,28,2,5.0,83,189,56,2016-January
2016-06-15,15,June,2016,32,M,United States,Oregon,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",5,38,53.6,25,265,190,2016-June
2016-02-06,6,February,2016,23,M,United States,California,Accessories,Helmets,"Sport-100 Helmet, Black",22,13,37.52,469,805,286,2016-February
2016-07-12,12,July,2016,50,M,Canada,British Columbia,Accessories,Tires and Tubes,HL Road Tire,26,12,33.0,537,899,312,2016-July
2016-01-18,18,January,2016,35,M,United States,Oregon,Accessories,Helmets,"Sport-100 Helmet, Red",3,13,37.52,51,140,39,2016-January
2016-06-23,23,June,2016,27,M,United States,Oregon,Clothing,Gloves,"Half-Finger Gloves, L",28,9,25.728,326,628,252,2016-June
2016-02-26,26,February,2016,38,F,Australia,New South Wales,Bikes,Touring Bikes,"Touring-1000 Blue, 46",1,1482,2384.0,592,2124,1482,2016-February
2016-04-04,4,April,2016,34,M,France,Nord,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",5,38,50.0,28,268,190,2016-April
2016-02-26,26,February,2016,35,M,United States,Oregon,Bikes,Road Bikes,"Road-750 Black, 44",1,344,578.88,120,514,344,2016-February
2016-05-12,12,May,2016,39,F,Canada,British Columbia,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443.0,900,2469,1519,2016-May
2016-02-02,2,February,2016,54,M,Canada,British Columbia,Clothing,Shorts,"Women's Mountain Shorts, S",18,26,70.0,779,1297,468,2016-February
2016-02-12,12,February,2016,50,F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Black, 38",1,1898,3375.0,768,2716,1898,2016-February
2016-03-03,3,March,2016,50,M,United States,Washington,Clothing,Shorts,"Women's Mountain Shorts, S",25,26,75.04,715,1415,650,2016-March
2016-07-24,24,July,2016,23,F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,4,1,2.0,4,58,4,2016-July
2016-04-26,26,April,2016,38,F,Australia,South Australia,Accessories,Tires and Tubes,Road Tire Tube,17,1,4.0,39,106,17,2016-April
2016-07-03,3,July,2016,40,F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,20,1,2.0,20,90,20,2016-July
2016-01-11,11,January,2016,23,F,France,Hauts de Seine,Accessories,Bottles and Cages,Mountain Bottle Cage,1,4,10.0,5,59,4,2016-January
2016-02-03,3,February,2016,20,M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,13,2,5.36,38,114,26,2016-February
2016-06-18,18,June,2016,37,M,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,22,2,5.0,65,159,44,2016-June
2016-07-18,18,July,2016,52,M,France,Nord,Accessories,Helmets,"Sport-100 Helmet, Black",20,13,35.0,349,659,260,2016-July
2016-06-02,2,June,2016,40,F,United States,Washington,Accessories,Tires and Tubes,Patch Kit/8 Patches,3,1,2.144,2,55,3,2016-June
2016-04-02,2,April,2016,19,M,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Red",12,13,35.0,260,466,156,2016-April
2016-02-16,16,February,2016,19,M,France,Seine Saint Denis,Accessories,Tires and Tubes,Road Tire Tube,25,1,4.0,57,132,25,2016-February
2016-01-06,6,January,2016,40,F,United States,California,Accessories,Bottles and Cages,Road Bottle Cage,14,3,9.648,81,173,42,2016-January
2016-04-28,28,April,2016,26,F,Germany,Hamburg,Bikes,Touring Bikes,"Touring-3000 Yellow, 58",1,461,742.0,229,740,461,2016-April
2016-06-07,7,June,2016,45,M,Canada,British Columbia,Accessories,Bottles and Cages,Mountain Bottle Cage,1,4,10.0,6,60,4,2016-June
2016-01-11,11,January,2016,51,F,United Kingdom,England,Accessories,Bottles and Cages,Mountain Bottle Cage,11,4,10.0,62,156,44,2016-January
2016-02-11,11,February,2016,25,F,France,Moselle,Accessories,Tires and Tubes,LL Mountain Tire,28,9,25.0,364,666,252,2016-February
2016-07-05,5,July,2016,33,F,United States,Oregon,Accessories,Bottles and Cages,Water Bottle - 30 oz.,1,2,5.36,2,54,2,2016-July
2016-06-18,18,June,2016,26,F,France,Seine (Paris),Clothing,Caps,AWC Logo Cap,22,7,9.0,8,212,154,2016-June
2016-01-21,21,January,2016,39,M,Australia,New South Wales,Clothing,Vests,"Classic Vest, M",4,24,64.0,127,273,96,2016-January
2016-03-13,13,March,2016,34,M,United Kingdom,England,Accessories,Tires and Tubes,Road Tire Tube,18,1,4.0,51,119,18,2016-March
2016-03-30,30,March,2016,42,F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320.0,961,2277,1266,2016-March
2016-07-08,8,July,2016,49,F,Canada,British Columbia,Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",19,38,50.0,219,991,722,2016-July
2016-02-12,12,February,2016,55,M,United States,Oregon,Accessories,Helmets,"Sport-100 Helmet, Black",27,13,37.52,462,863,351,2016-February
2016-06-15,15,June,2016,51,M,Germany,Hessen,Accessories,Bottles and Cages,Road Bottle Cage,5,3,9.0,27,92,15,2016-June
2016-01-27,27,January,2016,27,F,Australia,New South Wales,Accessories,Bottles and Cages,Water Bottle - 30 oz.,3,2,5.0,7,63,6,2016-January
2016-06-28,28,June,2016,34,M,Australia,Victoria,Accessories,Tires and Tubes,LL Road Tire,21,8,21.0,180,398,168,2016-June
2016-06-16,16,June,2016,42,F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Black",29,13,37.52,618,1045,377,2016-June
